#x(mm);zb(mm)
115.56654924310132;0.2735562310030449
120.11130117962776;0.9118541033434657
126.60380394609416;1.6413373860182383
133.74555698920713;2.553191489361704
137.64105864908694;3.191489361702125
141.53656030896678;4.10334346504559
147.3798127987865;4.924012158054715
153.22306528860622;6.018237082066874
157.11856694848606;7.0212765957446805
161.6633188850125;8.20668693009118
166.20807082153897;9.57446808510638
170.7528227580654;10.759878419452885
175.9468249712385;12.21884498480243
182.43932773770487;13.677811550151976
189.5810807808179;14.954407294832828
195.4243332706376;15.866261398176293
200.6183354838107;16.322188449848028
205.16308742033715;16.686930091185406
210.35708963351024;16.686930091185406
213.60334101674343;15.501519756838906
214.90184157003677;14.316109422492401
218.14809295326995;12.674772036474163
220.74509405985646;11.215805471124623
223.342095166443;9.665653495440726
225.93909627302958;8.024316109422498
229.18534765626268;6.109422492401215
231.78234876284927;4.285714285714284
233.73009959278912;2.9179331306990903
235.67785042272905;1.6413373860182383
236.9763509760223;0.455927051671738
