#t(s);H(mm)
0.9961568118063941;23.870967741935484
2.047655668713141;21.935483870967744
2.9884704354191793;20.806451612903224
3.929285202125219;19.516129032258064
5.036126104132322;19.516129032258064
6.032282915938715;18.87096774193548
7.083781772845463;18.064516129032263
8.0245965395515;17.82258064516129
9.076095396458252;17.500000000000004
10.016910163164285;17.500000000000004
11.013066974970679;17.17741935483871
12.009223786777072;16.93548387096774
13.060722643683818;16.854838709677416
14.056879455490213;16.451612903225808
14.99769422219625;15.887096774193546
15.993851034002644;15.725806451612906
16.99000784580904;15.967741935483868
18.041506702715782;16.53225806451613
18.982321469421827;16.612903225806456
20.033820326328573;15.806451612903224
21.085319183235324;15.322580645161292
22.081475995041718;15.000000000000002
22.966948716647398;14.919354838709674
24.01844757355415;15.241935483870975
25.069946430460895;15.322580645161292
26.010761197166932;15.161290322580637
27.006918008973326;14.758064516129028
28.00307482077972;15.241935483870975
28.999231632586106;15.08064516129032
30.050730489492864;15.08064516129032
30.991545256198894;15.000000000000002
31.987702068005287;15.241935483870975
33.03920092491204;15.564516129032256
33.98001569161808;15.08064516129032
35.031514548524825;15.40322580645162
35.972329315230866;15.725806451612906
37.079170217237966;16.20967741935484
38.019984983944;16.612903225806456
39.0161417957504;16.048387096774192
40.01229860755679;16.048387096774192
41.00845541936319;16.290322580645164
42.004612231169574;17.09677419354839
43.00076904297597;16.693548387096772
43.996925854782354;16.93548387096774
44.9377406214884;16.93548387096774
45.98923947839515;17.016129032258064
46.98539629020154;16.048387096774192
48.0368951471083;16.048387096774192
48.97770991381432;16.370967741935488
50.02920877072107;16.290322580645164
50.970023537427124;15.806451612903224
52.076864439434225;15.806451612903224
53.07302125124061;16.20967741935484
54.01383601794665;15.967741935483868
55.00999282975305;15.967741935483868
56.00614964155944;16.612903225806456
57.06687160968118;16.048387096774192
58.063028421487566;15.806451612903224
59.00384318819361;16.20967741935484
