#t(s);L(mm)
1.0684995806008029;102.04918032786888
2.0807623411699843;107.78688524590169
3.1492619217707887;110.24590163934427
4.0490510422767265;116.39344262295083
4.948840162782665;114.75409836065579
6.017339743383468;120.08196721311475
6.9733656839210285;121.72131147540989
7.98562844449021;122.13114754098363
8.997891205059393;120.90163934426234
10.010153965628573;120.90163934426234
11.022416726197754;120.08196721311475
11.978442666735315;120.08196721311475
12.990705427304498;120.08196721311475
14.002968187873678;124.18032786885247
15.01523094844286;124.18032786885247
16.083730529043663;122.95081967213117
16.92728282951798;120.90163934426234
17.995782410118785;118.85245901639351
18.951808350656343;120.49180327868855
20.07654475128877;123.36065573770492
21.03257069182633;125.81967213114756
21.93235981233227;127.0491803278689
22.944622572901448;128.27868852459022
24.013122153502252;125.40983606557381
25.025384914071434;127.0491803278689
25.981410854608995;129.0983606557377
26.88119997511493;128.27868852459022
27.949699555715735;128.27868852459022
28.905725496253297;131.14754098360658
29.9742250768541;129.0983606557377
31.0427246574549;131.14754098360658
31.94251377796084;126.6393442622951
33.01101335856164;128.68852459016392
33.910802479067584;128.68852459016392
35.035538879700006;126.2295081967213
35.99156482023757;123.36065573770492
37.06006440083837;120.08196721311475
38.12856398143917;121.31147540983609
39.028353101945115;124.59016393442627
39.98437904248267;124.59016393442627
40.99664180305185;121.31147540983609
42.00890456362104;118.85245901639351
43.02116732419021;119.672131147541
44.033430084759395;121.31147540983609
44.98945602529696;122.13114754098363
46.05795560589776;123.36065573770492
46.9577447264037;125.81967213114756
47.97000748697288;122.95081967213117
49.03850706757368;120.90163934426234
50.05076982814287;125.40983606557381
50.950558948648805;125.40983606557381
51.90658488918637;123.36065573770492
53.08755810985041;121.72131147540989
53.98734723035635;121.72131147540989
55.051159837217334;119.26229508196721
56.0071857777549;120.08196721311475
57.01944853832408;119.26229508196721
57.975474478861635;118.85245901639351
58.87526359936758;115.98360655737707
59.94376317996838;117.62295081967217
