#x(mm);zb(mm)
39.03107861060328;0.35820895522387547
40.31078610603289;1.432835820895522
42.87020109689212;2.4179104477611846
46.06946983546616;3.671641791044779
49.908592321755;4.835820895522385
52.46800731261424;6.268656716417912
55.66727605118828;7.701492537313434
58.22669104204753;9.044776119402982
62.065813528336385;10.567164179104479
64.62522851919559;11.910447761194032
67.18464351005483;13.074626865671647
70.38391224862887;14.32835820895522
73.58318098720291;15.492537313432837
75.50274223034734;16.567164179104477
78.70201096892136;17.37313432835821
82.54113345521021;18.089552238805975
85.10054844606944;18.985074626865675
88.9396709323583;19.880597014925378
92.13893967093236;20.955223880597018
95.97806215722117;21.3134328358209
99.17733089579524;21.850746268656717
101.73674588665446;21.134328358208958
103.65630712979889;20.14925373134329
105.57586837294332;18.895522388059703
107.49542961608775;17.73134328358209
109.41499085923218;16.298507462686565
112.6142595978062;14.865671641791044
114.53382084095063;13.611940298507465
116.45338208409505;12.179104477611938
119.01279707495428;11.014925373134332
120.93235831809871;9.850746268656717
122.85191956124314;8.686567164179106
125.41133455210239;7.343283582089554
128.61060329067638;5.731343283582088
131.17001828153565;4.02985074626866
133.72943327239486;2.5970149253731325
135.0091407678245;1.1641791044776104
