#t(s);xh(mm)
1.0382951551630353;103.44827586206904
2.0765903103260706;118.22660098522164
3.0572024013133827;133.0049261083744
3.9801314281249707;147.783251231527
5.018426583288008;156.65024630541885
5.941355610099595;168.47290640394087
6.979650765262631;177.33990147783254
7.960262856249941;189.1625615763546
8.940874947237251;198.0295566502464
10.036853166576012;203.94088669950753
11.017465257563325;212.80788177339917
11.998077348550636;221.67487684729068
13.036372503713674;233.4975369458129
14.016984594700986;239.40886699507382
14.997596685688297;245.32019704433512
16.035891840851335;260.0985221674879
17.016503931838642;268.96551724137936
18.05479908700168;277.832512315271
19.035411177988994;283.743842364532
20.073706333152025;292.6108374384238
21.112001488315062;298.5221674876847
22.03493051512665;310.3448275862069
23.01554260611396;319.21182266009845
23.99615469710128;328.07881773399026
25.092132916440036;336.9458128078819
26.072745007427347;345.81280788177344
27.053357098414654;351.72413793103453
28.033969189401965;360.5911330049262
29.07226434456501;369.4581280788178
30.11055949972804;378.32512315270935
30.975805462363905;387.19211822660117
32.01410061752695;396.05911330049264
33.05239577268998;404.92610837438434
34.033007863677284;416.74876847290653
34.95593689048888;422.66009852216763
36.05191510982763;431.52709359605933
37.03252720081495;440.3940886699508
38.01313929180226;446.30541871921207
39.051434446965295;455.17241379310354
39.97436347377688;464.03940886699525
41.070341693115644;472.9064039408867
42.05095378410296;481.77339901477836
42.973882810914546;490.64039408867006
44.01217796607758;499.5073891625617
44.93510699288917;508.37438423645335
46.03108521222793;517.2413793103449
47.011697303215236;526.1083743842366
47.99230939420255;534.9753694581282
49.03060454936558;543.8423645320198
50.011216640352906;552.7093596059113
50.9918287313402;561.5763546798031
51.97244082232752;570.4433497536949
53.010735977490555;579.3103448275863
54.04903113265358;588.1773399014779
54.97196015946519;597.0443349753697
56.06793837880394;600
57.058163727038064;605.9113300492613
57.98109275384966;611.8226600985222
58.904021780661246;623.6453201970445
