#x(mm);zb(mm)
81.2614259597806;0.31492500874534013
81.90127970749542;0.8522384415811532
85.74040219378428;1.2999996356110026
91.49908592321756;1.9268653072528
95.33820840950638;2.553730978894597
101.09689213893967;3.449253366954291
101.09689213893967;3.449253366954291
103.0164533820841;3.9865667997901144
106.21572212065811;4.7029847102378755
109.41499085923218;5.240298143073689
111.9744058500914;5.777611575909512
114.53382084095063;6.314925008745336
117.73308957952469;7.120895157999071
120.29250457038391;8.016417546058769
123.49177330895796;8.643283217700557
124.77148080438756;9.53880560576026
127.33089579524682;10.165671277402053
129.2504570383912;10.613432471431901
132.44972577696524;11.240298143073694
135.6489945155393;11.777611575909512
137.56855575868371;12.49402948635728
140.76782449725778;13.210447396805039
144.6069469835466;14.016417546058769
147.8062157221206;14.643283217700562
151.00548446069467;15.359701128148323
153.5648994515539;15.897014560984141
156.12431444241318;16.344775755013995
159.96343692870204;16.792536949043846
164.44241316270563;16.971641426655783
167.6416819012797;17.59850709829758
171.48080438756855;16.882089187849814
175.3199268738574;16.076119038596083
177.8793418647166;15.091044411730412
179.15904936014624;14.016417546058769
181.07861060329066;12.852238441581159
182.3583180987203;11.688059337103544
184.27787934186472;10.434327993819965
186.83729433272396;9.270148889342353
188.11700182815358;8.105969784864739
190.036563071298;6.941790680387123
191.95612431444243;5.508954859491601
193.87568555758682;4.255223516208026
195.79524680073123;3.180596650536374
197.71480804387568;2.1059697848647376
198.99451553930527;1.120895157999065
200.2742230347349;0.31492500874534013
