#x(mm);zb(mm)
63.98537477148077;0.4044772475513039
67.18464351005483;1.4791041132229505
71.02376599634368;1.7477608296408622
72.94332723948811;2.3746265012826493
78.0621572212066;2.643283217700561
81.90127970749542;3.449253366954291
81.90127970749542;3.449253366954291
86.38025594149907;4.165671277402052
88.9396709323583;4.792536949043839
90.85923217550273;5.240298143073689
92.77879341864715;5.867163814715486
96.61791590493597;6.673133963969221
99.81718464351003;7.568656352028914
101.09689213893967;8.195522023670712
104.29616087751369;8.464178740088618
107.49542961608775;9.001492172924442
108.77513711151738;9.897014560984141
111.3345521023766;10.613432471431901
113.25411334552099;11.240298143073694
114.53382084095063;11.777611575909512
119.65265082266912;12.583581725163247
119.65265082266912;12.583581725163247
121.57221206581355;13.747760829640857
124.13162705667277;13.9268653072528
124.13162705667277;13.9268653072528
126.691042047532;14.643283217700562
131.17001828153565;15.628357844566235
131.17001828153565;15.628357844566235
134.36928702010965;15.98656679979011
135.6489945155393;16.613432471431906
138.2084095063985;17.150745904267726
141.40767824497257;17.59850709829758
143.9670932358318;18.135820531133398
147.16636197440582;18.40447724755131
151.64533820840947;18.76268620277519
154.20475319926874;18.046268292327426
155.48446069469833;17.061193665461758
156.76416819012798;16.076119038596083
158.0438756855576;15.359701128148323
159.32358318098719;14.73283545650653
159.96343692870204;14.105969784864739
161.88299817184642;13.210447396805039
162.52285191956122;12.583581725163247
163.16270566727604;11.777611575909512
165.0822669104205;10.971641426655783
166.36197440585008;9.897014560984141
168.2815356489945;8.822387695312498
169.56124314442414;8.016417546058769
170.84095063985376;7.120895157999071
172.76051188299817;6.1358205311333975
174.68007312614262;4.882089187849808
176.59963436928703;3.8074623221781714
177.8793418647166;2.643283217700561
179.15904936014624;1.5686563520289143
180.43875685557586;0.5835817251632518
